gene,damage_score,gnomAD_SAS_AF,Variant_Classification,log2FoldChange,padj,direction,MutExpress_Priority
COL6A6,3.0,0.0,Missense_Mutation,-3.20543864352053,5.13798669511243e-83,DOWN,HIGH
COL9A1,3.0,0.0,"Missense_Mutation, Splice_Site, Nonsense_Mutation",1.90889686082711,2.9176883699910503e-14,UP,HIGH
CORO2B,3.0,0.0,Missense_Mutation,-2.3629097503838,1.0551796466591002e-112,DOWN,HIGH
COX7B2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",4.82597406573856,8.01943710975157e-17,UP,HIGH
CPA1,3.0,0.0,Missense_Mutation,-4.1465610865883,5.92891207513457e-87,DOWN,HIGH
CPB1,3.0,0.0,Missense_Mutation,4.38666690282488,9.94115422438064e-32,UP,HIGH
CPEB1,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.68399220808791,4.61902273414385e-39,DOWN,HIGH
CPNE7,3.0,0.0,Missense_Mutation,2.5614494312713,1.16873569075418e-53,UP,HIGH
CREB3L1,3.0,0.0,Missense_Mutation,2.27216111224942,9.52007794163809e-69,UP,HIGH
CREB3L3,3.0,0.0,Missense_Mutation,1.53538366654608,7.90514247992578e-14,UP,HIGH
CRHBP,3.0,0.0,"Missense_Mutation, Splice_Site",-3.94384833956027,3.66334818611607e-205,DOWN,HIGH
CRIM1,3.0,0.0,"Missense_Mutation, In_Frame_Del",-1.69539460120724,2.09773082213205e-75,DOWN,HIGH
CRIP1,3.0,0.0,Missense_Mutation,2.12499240384477,6.764028084458491e-44,UP,HIGH
CSAG1,3.0,0.0,Missense_Mutation,8.56634411913736,3.33935405518557e-86,UP,HIGH
CSF3,3.0,0.0,Missense_Mutation,-3.68065450989457,2.93905194509432e-38,DOWN,HIGH
CSMD2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",2.07691028821037,4.36565755113731e-50,UP,HIGH
CSRNP3,3.0,0.0,Missense_Mutation,-2.32335651854645,1.71861607194786e-62,DOWN,HIGH
CST11,3.0,0.0,Missense_Mutation,1.82412084761004,4.49654524499163e-06,UP,HIGH
CST5,3.0,3.266e-05,Missense_Mutation,6.50267122758019,2.0480454824623702e-67,UP,HIGH
CTNNA2,3.0,0.0,Missense_Mutation,2.06869414459224,2.0410457082164e-15,UP,HIGH
CTSG,3.0,0.0,Missense_Mutation,-1.82271709204876,2.9568253106703797e-22,DOWN,HIGH
